2.017000000000000000e+03,1.000000000000000000e+01,4.000000000000000000e+00,1.900000000000000000e+01,0.000000000000000000e+00,1.470000000000000107e+01
2.018000000000000000e+03,5.000000000000000000e+00,7.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,1.594999999999999929e+01
2.017000000000000000e+03,1.200000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.875000000000000000e+00
2.020000000000000000e+03,4.000000000000000000e+00,6.000000000000000000e+00,2.100000000000000000e+01,0.000000000000000000e+00,1.330000000000000071e+01
2.016000000000000000e+03,5.000000000000000000e+00,6.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00,1.509999999999999964e+01
2.018000000000000000e+03,1.200000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.600000000000000089e+00,6.179999999999999716e+00
2.016000000000000000e+03,2.000000000000000000e+00,4.000000000000000000e+00,2.100000000000000000e+01,5.000000000000000278e-02,3.475000000000000089e+00
2.020000000000000000e+03,8.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,1.858000000000000185e+01
2.018000000000000000e+03,7.000000000000000000e+00,4.000000000000000000e+00,1.800000000000000000e+01,0.000000000000000000e+00,2.767500000000000071e+01
2.020000000000000000e+03,5.000000000000000000e+00,6.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00,1.227999999999999936e+01
2.020000000000000000e+03,5.000000000000000000e+00,5.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000042e-02,1.037999999999999901e+01
2.017000000000000000e+03,3.000000000000000000e+00,3.000000000000000000e+00,1.800000000000000000e+01,5.200000000000000178e-01,9.859999999999999432e+00
2.018000000000000000e+03,1.200000000000000000e+01,7.000000000000000000e+00,8.000000000000000000e+00,5.999999999999999778e-01,5.360000000000000320e+00
2.018000000000000000e+03,5.000000000000000000e+00,4.000000000000000000e+00,1.600000000000000000e+01,0.000000000000000000e+00,1.978000000000000114e+01
